User_ID,Education,Experience,Available_Time
1,"[{'_id': 'abc123def456ghi789jkl0m', 'degree': 'Software Engineering', 'endYear': 2023, 'school': 'Tech Institute InnovateIT', 'startYear': 2023}, {'_id': 'abc123def456ghi789jkl1n', 'degree': 'Bachelor of Science', 'endYear': 2018, 'fieldOfStudy': 'Mechanical Systems Management', 'school': 'Global University of Engineering and Technology', 'startYear': 2014}]","[{'_id': 'abc123def456ghi789jkl0o', 'endYear': 2023, 'jobTitle': 'Technical Specialist', 'skills': ['Technical Monitoring', 'Equipment Maintenance', 'Facility Cleaning', 'Component Disassembly', 'Component Assembly'], 'startYear': 2019, 'yearsOfExperience': 4}]",0.9388396623
2,"[{'_id': 'a9c8e7f5d2b3456789012345', 'degree': 'Associate', 'endYear': 2020, 'fieldOfStudy': 'Mechanical Engineering', 'school': 'Orlando Technical Institute', 'startYear': 2014}, {'_id': 'b8d7f6e4c3a2456789012346', 'degree': 'Bachelors', 'endYear': -1, 'fieldOfStudy': 'Computer and Electrical Systems', 'school': 'Orlando Technical Institute', 'startYear': 2022}]","[{'_id': 'c7e6d5f4b3a1456789012347', 'companyLocation': 'Canada', 'companyName': 'Tech Innovations Inc.', 'endYear': -1, 'jobTitle': 'Engineering Technician', 'skills': ['System Customization', 'Technical Diagnostics', 'Equipment Maintenance', 'Metalwork', 'System Installation', 'Component Fabrication'], 'startYear': 2018, 'yearsOfExperience': 5}]",1.372787452
3,"[{'_id': 'abc123def456ghi789jkl012', 'degree': 'Diploma', 'endYear': 2021, 'fieldOfStudy': 'Design', 'school': 'East Lake Technical College', 'startYear': 2017}]","[{'_id': 'abc123def456ghi789jkl013', 'companyLocation': 'Canada', 'companyName': 'Alpha Holdings', 'endYear': 2023, 'jobTitle': 'Field Technician', 'skills': ['HVAC Installation'], 'startYear': 2022, 'yearsOfExperience': 1}, {'_id': 'abc123def456ghi789jkl014', 'companyLocation': 'Canada', 'companyName': 'Omega Pharmaceuticals', 'endYear': 2021, 'jobTitle': 'Courier', 'skills': ['Logistics'], 'startYear': 2021, 'yearsOfExperience': 0}, {'_id': 'abc123def456ghi789jkl015', 'companyLocation': 'Canada', 'companyName': 'Beta Ventures', 'endYear': 2021, 'jobTitle': 'Apprentice', 'skills': ['Upkeep'], 'startYear': 2017, 'yearsOfExperience': 4}, {'_id': 'abc123def456ghi789jkl016', 'companyLocation': 'Canada', 'companyName': 'Delta Restoration', 'endYear': 2024, 'jobTitle': 'Environmental Technician', 'skills': ['Hazardous Material Handling', 'Contaminant Removal'], 'startYear': 2023, 'yearsOfExperience': 1}]",4.524165497
4,"[{'_id': '66c4ec4744fe5b6f49115622', 'degree': 'Associate', 'fieldOfStudy': 'Automotive Engineering', 'languageSpoken': 'English', 'school': 'Greenfield Technical College'}, {'_id': '66c4ec4744fe5b6f49115623', 'degree': 'Bachelors', 'fieldOfStudy': 'International Relations', 'languageSpoken': 'English', 'school': 'River Valley University'}, {'_id': '66c4ec4744fe5b6f49115624', 'fieldOfStudy': 'Liberal Arts', 'languageSpoken': 'English', 'school': 'Hillside University'}]","[{'_id': '66c4ec4744fe5b6f4911561f', 'companyLocation': 'United States', 'companyName': 'Mountain Auto Center', 'jobTitle': 'Lube Technician', 'skills': ['Oil Replacement', 'Brake Repair', 'Mounting', 'Mechanical Diagnostics', 'Electrical Troubleshooting', 'Warranty Processing'], 'yearsOfExperience': 1}, {'_id': '66c4ec4744fe5b6f49115620', 'companyLocation': 'United States', 'companyName': 'Sunset Grill', 'jobTitle': 'Cashier/Delivery', 'skills': ['Customer Interaction', 'Drive-Thru Operations', 'Order Management', 'Complaint Resolution', 'Cash Handling', 'Seating Arrangements'], 'yearsOfExperience': 3}, {'_id': '66c4ec4744fe5b6f4911561e', 'companyLocation': 'United States', 'companyName': 'Quick Fix Lubricants', 'jobTitle': 'Lube Technician', 'skills': ['Oil Change', 'Customer Assistance', 'Safety Inspections', 'Filter Changes'], 'yearsOfExperience': 0}, {'_id': '66c4ec4744fe5b6f49115621', 'companyLocation': 'United States', 'companyName': 'XYZ Logistics', 'jobTitle': 'Warehouse Worker', 'skills': ['Facility Maintenance', 'Parcel Handling', 'Loading', 'Delivery Coordination'], 'yearsOfExperience': 2}, {'_id': '66c4ec4744fe5b6f4911561b', 'companyLocation': 'United States', 'companyName': 'Funland Adventures', 'jobTitle': 'Ride Operator', 'skills': ['Operating Rides', 'Guest Service', 'Safety Regulations', 'Issue Resolution', 'Sanitation'], 'yearsOfExperience': 0}, {'_id': '66c4ec4744fe5b6f4911561d', 'companyLocation': 'United States', 'companyName': 'Auto Service Depot', 'jobTitle': 'Lube Technician', 'skills': ['Oil Change', 'Customer Relations', 'Safety Checks', 'Filter Replacement', 'Tire Servicing'], 'yearsOfExperience': 0}, {'_id': '66c4ec4744fe5b6f4911561c', 'companyLocation': 'United States', 'companyName': 'Foodie Express', 'jobTitle': 'Delivery Specialist', 'skills': ['Meal Delivery', 'Order Precision', 'Client Communication', 'Timely Deliveries'], 'yearsOfExperience': 0}]",5.958788315
5,"[{'_id': '123456abcde7890fghij1234', 'degree': 'Some College', 'endYear': 2025, 'fieldOfStudy': 'Data Analysis with Python & Power BI', 'languageSpoken': 'English', 'school': 'Stanford University', 'startYear': -1}, {'_id': '123456abcde7890fghij1235', 'degree': 'Bachelors', 'endYear': 2020, 'fieldOfStudy': 'Mechanical Engineering', 'languageSpoken': 'English', 'school': 'University of Cape Town', 'startYear': -1}]","[{'_id': '123456abcde7890fghij1236', 'companyLocation': 'Canada', 'companyName': 'Solaris', 'endYear': -1, 'jobTitle': 'Vehicle Diagnostic Specialist', 'skills': ['Diagnostics', 'problem-solving', 'CAN Protocol', 'LIN', 'Ethernet', 'Blueprints', 'User Interface Tools', 'HVAC'], 'startYear': 2025, 'yearsOfExperience': 0}, {'_id': '123456abcde7890fghij1237', 'companyLocation': 'United Kingdom', 'companyName': 'RoboTech', 'endYear': -1, 'jobTitle': 'Automation Service Engineer', 'skills': ['Automation', 'technical support', 'problem-solving', 'Implementation', 'coding'], 'startYear': 2024, 'yearsOfExperience': 0}, {'_id': '123456abcde7890fghij1238', 'companyLocation': 'Australia', 'companyName': 'ElectroTest', 'endYear': 2024, 'jobTitle': 'Hardware Test Specialist', 'skills': ['testing', 'Assembly', 'Calibration', 'Blueprints', 'Oscilloscopes', 'Multimeter'], 'startYear': 2024, 'yearsOfExperience': 0}, {'_id': '123456abcde7890fghij1239', 'companyLocation': 'New Zealand', 'companyName': 'CruiseLine Technicians', 'endYear': 2023, 'jobTitle': 'Gaming Systems Technician', 'skills': ['gaming systems', 'problem-solving', 'Network Equipment', 'Maintenance', 'Signal Analyzer'], 'startYear': 2020, 'yearsOfExperience': 3}, {'_id': '123456abcde7890fghij1240', 'companyLocation': 'India', 'companyName': 'WaveConnect', 'endYear': 2020, 'jobTitle': 'On-Site Support Engineer', 'skills': ['Maintenance', 'problem-solving', 'Diagnostics', 'customer support', 'Oscilloscopes'], 'startYear': 2018, 'yearsOfExperience': 2}, {'_id': '123456abcde7890fghij1241', 'companyLocation': 'Brazil', 'companyName': 'TechAssembly', 'endYear': 2018, 'jobTitle': 'Electronic Systems Technician', 'skills': ['Assembly', 'Software Upgrades', 'Integration', 'Blueprints'], 'startYear': 2016, 'yearsOfExperience': 2}]",2.513737727
6,"[{'_id': '1234567be2a0265dd3bc0fb1', 'degree': ""Bachelor's"", 'endYear': 2017, 'fieldOfStudy': 'Sociology', 'school': 'Greenfield University', 'startYear': 2012}, {'_id': '1234567be2a0265dd3bc0fb2', 'degree': 'Associate', 'endYear': 2012, 'fieldOfStudy': 'Paramedic Science', 'school': 'Oak Valley Community College', 'startYear': 2011}]","[{'_id': '1234567be2a0265dd3bc0fac', 'companyLocation': 'Canada', 'companyName': 'Northwest State University', 'endYear': 2025, 'jobTitle': 'Campus Facilities Technician', 'skills': ['HVAC Maintenance', 'Kitchen Appliances', 'Oven', 'Lighting Systems', 'Wiring Repair', 'Equipment Maintenance', 'Waste Disposal'], 'startYear': 2024, 'yearsOfExperience': 1}, {'_id': '1234567be2a0265dd3bc0fad', 'companyLocation': 'Canada', 'companyName': 'CleanTech Services', 'endYear': 2024, 'jobTitle': 'Janitor', 'skills': ['Cleaning', 'Floor Sweeping', 'Surface Dusting', 'Floor Cleaning', 'Waste Management', 'Supply Inventory'], 'startYear': 2023, 'yearsOfExperience': 1}, {'_id': '1234567be2a0265dd3bc0fae', 'companyLocation': 'Canada', 'companyName': 'DiceCo Productions', 'endYear': 2022, 'jobTitle': 'Manufacturing Technician', 'skills': ['Equipment Handling', 'Machine Operation', 'Quality Control', 'Basic Repairs', 'Safety Protocols'], 'startYear': 2021, 'yearsOfExperience': 1}, {'_id': '1234567be2a0265dd3bc0faf', 'companyLocation': 'Canada', 'companyName': 'CharityWorks', 'endYear': 2021, 'jobTitle': 'Logistics Supervisor', 'skills': ['E-commerce', 'Inventory Management', 'Dispatching', 'Client Interaction', 'Order Fulfillment', 'Packaging'], 'startYear': 2017, 'yearsOfExperience': 4}, {'_id': '1234567be2a0265dd3bc0fb0', 'companyLocation': 'Canada', 'companyName': 'HomeStore', 'endYear': 2015, 'jobTitle': 'Retail Clerk', 'skills': ['Customer Service', 'Product Information', 'Inventory Replenishment', 'Store Maintenance'], 'startYear': 2013, 'yearsOfExperience': 2}]",2.291960215
7,"[{'_id': '672a7aab35b02fdf046d32ed', 'degree': 'Diploma', 'endYear': 2011, 'fieldOfStudy': 'Technology in Marine Mechanic', 'school': 'Riverdale Technical Institute', 'startYear': 2009}, {'_id': '672a7aab35b02fdf046d32ee', 'degree': 'Diploma', 'endYear': 2012, 'fieldOfStudy': 'Audio Engineering', 'school': 'Springfield College', 'startYear': 2010}]","[{'_id': '672a7aab35b02fdf046d32e4', 'companyLocation': 'United States', 'companyName': 'Sunrise Motors', 'endYear': -1, 'jobTitle': 'Automotive Technician', 'skills': ['Mechanical'], 'startYear': 2023, 'yearsOfExperience': 0}, {'_id': '672a7aab35b02fdf046d32e5', 'companyLocation': 'United States', 'companyName': 'Horizon Networks', 'endYear': 2023, 'jobTitle': 'Cell Tower Technician', 'skills': ['Cabling', 'Welding', 'Antenna', 'Jumper', 'testing'], 'startYear': 2022, 'yearsOfExperience': 1}, {'_id': '672a7aab35b02fdf046d32e6', 'companyLocation': 'United States', 'companyName': 'Pioneer Installations', 'endYear': 2022, 'jobTitle': 'Kitchen Installer / AC Installer', 'skills': ['installation'], 'startYear': 2020, 'yearsOfExperience': 2}, {'_id': '672a7aab35b02fdf046d32e7', 'companyLocation': 'United States', 'companyName': 'Seaside Resorts', 'endYear': 2020, 'jobTitle': 'Field Service Technician II', 'skills': ['maintenance'], 'startYear': 2018, 'yearsOfExperience': 2}, {'_id': '672a7aab35b02fdf046d32e8', 'companyLocation': 'United States', 'companyName': 'Oceanview Lounge', 'endYear': 2018, 'jobTitle': 'Barback', 'skills': ['Supply Management'], 'startYear': 2016, 'yearsOfExperience': 2}, {'_id': '672a7aab35b02fdf046d32e9', 'companyLocation': 'United States', 'companyName': 'Prime Valet Services', 'endYear': 2018, 'jobTitle': 'Valet Supervisor', 'skills': ['supervision', 'quality control'], 'startYear': 2016, 'yearsOfExperience': 2}, {'_id': '672a7aab35b02fdf046d32ea', 'companyLocation': 'United States', 'companyName': 'Elite Kitchen Solutions', 'endYear': 2016, 'jobTitle': 'Commercial Kitchen Installer', 'skills': ['installation'], 'startYear': 2014, 'yearsOfExperience': 2}, {'_id': '672a7aab35b02fdf046d32eb', 'companyLocation': 'Caribbean Islands', 'companyName': 'Island Interiors', 'endYear': 2015, 'jobTitle': 'Drywall Installer', 'skills': ['Sheetrock', 'Interior Design'], 'startYear': 2012, 'yearsOfExperience': 3}, {'_id': '672a7aab35b02fdf046d32ec', 'companyLocation': 'United States', 'companyName': 'Lakeside Marina', 'endYear': 2012, 'jobTitle': 'Maintenance Technician', 'skills': ['maintenance', 'Plumbing', 'Electrical'], 'startYear': 2008, 'yearsOfExperience': 4}]",3.785882497
8,"[{'_id': 'abc123', 'degree': 'Masters', 'endYear': -1, 'fieldOfStudy': 'Law', 'languageSpoken': 'English', 'school': 'Central Law University', 'startYear': 2023}, {'_id': 'def456', 'degree': 'Bachelors', 'endYear': 2022, 'fieldOfStudy': 'History', 'languageSpoken': 'English', 'school': 'Northern University', 'startYear': 2019}]","[{'_id': 'ghi789', 'companyLocation': 'Canada', 'companyName': 'Smith & Gordon Law Firm', 'endYear': -1, 'jobTitle': 'Legal Intern', 'skills': ['Client Relations', 'Deadline Management', 'Leadership', 'Legal Documentation', 'Word Processing', 'Spreadsheet Analysis'], 'startYear': 2024, 'yearsOfExperience': -1}, {'_id': 'jkl012', 'companyLocation': 'Canada', 'companyName': 'Community Help Center', 'endYear': -1, 'jobTitle': 'Assistant Advisor', 'skills': ['Legal Analysis', 'Interpersonal Communication', 'Time Management'], 'startYear': 2024, 'yearsOfExperience': -1}, {'_id': 'mno345', 'companyLocation': 'Canada', 'companyName': 'Department of Justice', 'endYear': 2018, 'jobTitle': 'Intern', 'skills': ['Document Management', 'Collaboration'], 'startYear': 2018, 'yearsOfExperience': -1}, {'_id': 'pqr678', 'companyLocation': 'Canada', 'companyName': 'River Cafe', 'endYear': 2021, 'jobTitle': 'Service Assistant', 'skills': ['Coordination', 'Task Prioritization', 'Customer Interaction'], 'startYear': 2016, 'yearsOfExperience': -1}]",2.374786623
9,"[{'_id': '66feb33e750eecd994bc17ab', 'degree': 'Doctor of Laws', 'endYear': 2027, 'school': 'University of California School of Law', 'startYear': 2024}, {'_id': '66feb33e750eecd994bc17ac', 'degree': 'Master of Arts', 'endYear': 2020, 'fieldOfStudy': 'Human Resources Management', 'startYear': -1}, {'_id': '66feb33e750eecd994bc17ad', 'degree': 'Master of Science', 'endYear': 2012, 'fieldOfStudy': 'Global Business Management', 'startYear': -1}, {'_id': '66feb33e750eecd994bc17ae', 'degree': 'Bachelor of Arts', 'endYear': 2010, 'startYear': -1}]","[{'_id': '66feb33e750eecd994bc17a1', 'companyLocation': 'Canada', 'endYear': -1, 'jobTitle': 'Legal Intern', 'skills': ['Case Analysis', 'Client Consultation'], 'startYear': 2025, 'yearsOfExperience': 0}, {'_id': '66feb33e750eecd994bc17a2', 'companyLocation': 'Canada', 'endYear': -1, 'jobTitle': 'Assistant Researcher', 'skills': ['data analysis'], 'startYear': 2025, 'yearsOfExperience': 0}, {'_id': '66feb33e750eecd994bc17a3', 'companyLocation': 'United Kingdom', 'companyName': 'Global Tech Solutions', 'endYear': 2025, 'jobTitle': 'Legal Fellow', 'skills': ['Regulatory Compliance', 'Document Review', 'Corporate Governance'], 'startYear': 2025, 'yearsOfExperience': 0}, {'_id': '66feb33e750eecd994bc17a4', 'companyLocation': 'Australia', 'endYear': 2024, 'jobTitle': 'Human Resources Consultant', 'skills': ['Employee Engagement', 'Policy Development', 'Regulatory Adherence'], 'startYear': 2022, 'yearsOfExperience': 2}, {'_id': '66feb33e750eecd994bc17a5', 'companyLocation': 'Australia', 'companyName': 'Global University School of Law', 'endYear': 2022, 'jobTitle': 'Program Assistant', 'skills': ['Case Investigation', 'Compliance Management'], 'startYear': 2020, 'yearsOfExperience': 1}, {'_id': '66feb33e750eecd994bc17a6', 'companyLocation': 'Australia', 'companyName': 'Global University School of Law', 'endYear': 2022, 'jobTitle': 'French Translator', 'skills': ['translation', 'data collection'], 'startYear': 2020, 'yearsOfExperience': 1}, {'_id': '66feb33e750eecd994bc17a7', 'companyLocation': 'India', 'companyName': 'International Philanthropy Fund', 'endYear': 2019, 'jobTitle': 'Project Intern', 'skills': ['strategic planning'], 'startYear': 2019, 'yearsOfExperience': 0}, {'_id': '66feb33e750eecd994bc17a8', 'companyLocation': 'India', 'companyName': 'Education Zone 15', 'endYear': 2019, 'jobTitle': 'Spring Intern', 'skills': ['Research Analysis', 'Public Speaking'], 'startYear': 2019, 'yearsOfExperience': 0}, {'_id': '66feb33e750eecd994bc17a9', 'companyLocation': 'France', 'companyName': 'Coca-Cola Company', 'endYear': 2018, 'jobTitle': 'Human Resources Specialist', 'skills': ['Conflict Resolution', 'Case Evaluation'], 'startYear': 2015, 'yearsOfExperience': 3}, {'_id': '66feb33e750eecd994bc17aa', 'companyLocation': 'Germany', 'companyName': 'Volkswagen Group', 'endYear': 2015, 'skills': ['Employee Management', 'Contract Negotiation'], 'startYear': 2012, 'yearsOfExperience': 3}]",0.1864845924
10,"[{'_id': 'obf7609e2e979e06af5aa68', 'degree': 'Masters', 'endYear': 2024, 'fieldOfStudy': 'International Trade Law', 'languageSpoken': 'English', 'school': 'Greenwood Hall Law School, Maple University', 'startYear': -1}, {'_id': 'obf7609e2e979e06af5aa69', 'degree': 'Bachelors', 'endYear': -1, 'fieldOfStudy': 'Legal Studies', 'languageSpoken': 'English', 'school': 'Riverdale University', 'startYear': -1}, {'_id': 'obf7609e2e979e06af5aa6a', 'degree': 'Bachelors', 'endYear': -1, 'fieldOfStudy': 'Accounting', 'languageSpoken': 'English', 'school': 'Riverdale University', 'startYear': -1}]","[{'_id': 'obf7609e2e979e06af5aa62', 'companyLocation': 'CountryX', 'companyName': 'Media Solutions Corp', 'endYear': 2023, 'jobTitle': 'Principal Legal Advisor', 'skills': ['Law Strategy', 'Agreement Drafting', 'Bargaining', 'Patent Management', 'Regulatory Compliance'], 'startYear': 2018, 'yearsOfExperience': 5}, {'_id': 'obf7609e2e979e06af5aa63', 'companyLocation': 'CountryX', 'companyName': 'Independent Consultancy', 'endYear': 2023, 'jobTitle': 'Independent Consultant', 'skills': ['Legal Support', 'Judicial Research', 'Agreement Drafting', 'Client Advisory', 'Business Consulting'], 'startYear': 2014, 'yearsOfExperience': 10}, {'_id': 'obf7609e2e979e06af5aa64', 'companyLocation': 'CountryX', 'companyName': 'Zeta Life Insurance Co.', 'endYear': 2017, 'jobTitle': 'Deputy Legal Manager', 'skills': ['Court Representation', 'Policy Revisions', 'Regulatory Compliance', 'Legal Inquiry'], 'startYear': 2016, 'yearsOfExperience': 1}, {'_id': 'obf7609e2e979e06af5aa65', 'companyLocation': 'CountryX', 'companyName': 'LawPartners Inc. (Immigration Law Office)', 'endYear': 2016, 'jobTitle': 'Legal Consultant', 'skills': ['Document Drafting', 'Team Collaboration', 'Court Representation'], 'startYear': 2016, 'yearsOfExperience': 0.5}, {'_id': 'obf7609e2e979e06af5aa66', 'companyLocation': 'CountryX', 'companyName': 'LawGroup, LLC', 'endYear': 2016, 'jobTitle': 'Junior Lawyer', 'skills': ['Document Drafting', 'Judicial Research', 'File Documentation'], 'startYear': 2014, 'yearsOfExperience': 2}, {'_id': 'obf7609e2e979e06af5aa67', 'companyLocation': 'CountryX', 'endYear': 2014, 'jobTitle': 'Legal Trainee', 'skills': ['Law Expertise', 'Defense Litigation', 'File Management'], 'startYear': 2012, 'yearsOfExperience': 2}]",2.504065804
11,"[{'_id': 'a1b2c3d4e5f6789012345678', 'degree': 'Juris Doctor', 'endYear': 2025, 'languageSpoken': 'English', 'school': 'Midwestern State College of Law', 'startYear': -1}, {'_id': 'a1b2c3d4e5f6789012345679', 'degree': 'Bachelors', 'endYear': 2022, 'fieldOfStudy': 'Mechanical Engineering', 'languageSpoken': 'English', 'school': 'Northern Tech University', 'startYear': -1}]","[{'_id': 'a1b2c3d4e5f678901234567a', 'companyLocation': 'Canada', 'companyName': 'Smith & Associates, LLP', 'endYear': 2023, 'jobTitle': 'Legal Intern', 'skills': ['Legal Research', 'Document Drafting'], 'startYear': 2023, 'yearsOfExperience': 0}, {'_id': 'a1b2c3d4e5f678901234567b', 'companyLocation': 'Canada', 'companyName': 'Tech Innovations Inc.', 'endYear': 2022, 'jobTitle': 'Prototype Engineer', 'skills': ['Product Development', 'CAD Modeling', '3D Fabrication'], 'startYear': 2022, 'yearsOfExperience': 0}, {'_id': 'a1b2c3d4e5f678901234567c', 'companyLocation': 'Canada', 'companyName': 'Cloud Solutions LLC', 'endYear': 2022, 'jobTitle': 'Software Developer', 'skills': ['Cloud Infrastructure', 'Mobile App Creation', 'Code Optimization', 'Data Sync'], 'startYear': 2021, 'yearsOfExperience': 1}, {'_id': 'a1b2c3d4e5f678901234567d', 'companyLocation': 'Canada', 'companyName': 'GreenTech Robotics', 'endYear': 2023, 'jobTitle': 'Intern Associate', 'skills': ['Case Analysis', 'Technical Research', 'Document Writing', 'Legal Claims'], 'startYear': 2023, 'yearsOfExperience': 0}, {'_id': 'a1b2c3d4e5f678901234567e', 'companyLocation': 'Canada', 'companyName': 'Horizon Engineering Group', 'endYear': 2024, 'jobTitle': 'Summer Intern', 'skills': ['Case Management', 'Violation Assessment', 'Legal Drafting', 'Patent Evaluations'], 'startYear': 2024, 'yearsOfExperience': 0}, {'_id': 'a1b2c3d4e5f678901234567f', 'companyLocation': 'Canada', 'companyName': 'Tech University', 'endYear': 2021, 'jobTitle': 'Design Team Member', 'skills': ['Creative Design'], 'startYear': 2020, 'yearsOfExperience': 1}]",5.997176791
12,"[{'_id': 'ed1', 'degree': 'Masters', 'endYear': 2006, 'fieldOfStudy': 'Information and Library Science', 'languageSpoken': 'English', 'school': 'State University of New York', 'startYear': 2004}, {'_id': 'ed2', 'degree': 'Juris Doctor', 'endYear': 1995, 'fieldOfStudy': 'Legal Studies', 'languageSpoken': 'English', 'school': 'Yale Law School', 'startYear': 1992}, {'_id': 'ed3', 'degree': 'Bachelors', 'endYear': 1991, 'fieldOfStudy': 'Political Science', 'languageSpoken': 'English', 'school': 'Princeton University', 'startYear': 1987}]","[{'_id': 'job1', 'companyLocation': 'Canada', 'companyName': 'DataInsights', 'endYear': 2001, 'jobTitle': 'Consultant', 'skills': ['Project Management', 'Report Analysis'], 'startYear': 2000, 'yearsOfExperience': 1.0}, {'_id': 'job2', 'companyLocation': 'United States', 'companyName': 'TechCorp', 'endYear': 2006, 'jobTitle': 'Quality Evaluator', 'skills': ['Relevance Assessment'], 'startYear': 2003, 'yearsOfExperience': 3.0}, {'_id': 'job3', 'companyLocation': 'United States', 'companyName': 'Legal Solutions Inc.', 'endYear': -1, 'jobTitle': 'Legal Research Specialist', 'skills': ['AI', 'Research Analysis', 'Legal Inquiry'], 'startYear': 2023, 'yearsOfExperience': 0.5}, {'_id': 'job4', 'companyLocation': 'United States', 'companyName': 'Research Dynamics', 'endYear': 2023, 'jobTitle': 'Lead Research Author', 'skills': ['Writing', 'Legal Research'], 'startYear': 2022, 'yearsOfExperience': 1.1}, {'_id': 'job5', 'companyLocation': 'United States', 'companyName': 'University of Western States', 'endYear': 2019, 'jobTitle': 'Academic Librarian', 'skills': ['Library Science', 'Teaching', 'Research', 'Writing'], 'startYear': 2005, 'yearsOfExperience': 14.0}, {'_id': 'job6', 'companyLocation': 'United States', 'companyName': 'City Legal Department', 'endYear': 2000, 'jobTitle': 'Assistant Legal Counsel', 'skills': ['Litigation'], 'startYear': 1997, 'yearsOfExperience': 3.2}, {'_id': 'job7', 'companyLocation': 'United States', 'companyName': 'Courthouse of Appeals', 'endYear': 1997, 'jobTitle': 'Judicial Attorney', 'skills': ['Legal Analysis', 'Document Drafting'], 'startYear': 1995, 'yearsOfExperience': 2.0}, {'_id': 'job8', 'companyLocation': 'United States', 'companyName': 'Independent Media', 'endYear': 2011, 'jobTitle': 'Freelance Contributor', 'skills': ['Content Development', 'Marketing'], 'startYear': 2007, 'yearsOfExperience': 4.6}, {'_id': 'job9', 'companyLocation': 'Germany', 'companyName': 'Consulting Partners', 'endYear': 2001, 'jobTitle': 'Advisor', 'skills': ['Project Coordination', 'Technical Writing'], 'startYear': 2000, 'yearsOfExperience': 1.0}, {'_id': 'job10', 'companyLocation': 'United States', 'companyName': 'AI Innovations', 'endYear': 2022, 'jobTitle': 'Data Specialist', 'skills': ['Data Annotation', 'Taxonomy'], 'startYear': 2022, 'yearsOfExperience': 0.6}]",1.849418839
